Type,Zero,Name,Manufacturer,lat,long,Sweetness,Fruityness,Synthetic,Fizz,Sugar,SugarScale,Caffeine,CaffeineScale,Rating
Spezi,false,Adelholzener Cola Mix,Adelholzener Alpenquellen GmbH,47.81270986012518,12.613221636473613,2,4,1,4,4,1.701030927835,,-0.263157894737,4
Cola,false,afri cola,Mineralbrunnen Überklingen-Teinach GmbH,48.68874538354602,8.6858358743856,4,3,3,2,11,4.587628865979,,-0.263157894737,2
Cola,true,afri cola ohne zucker,Mineralbrunnen Überklingen-Teinach GmbH,48.68874538354602,8.6858358743856,3,4,5,4,0,0.051546391753,10,1.842105263158,3
Cola,false,afri-cola 25,Mineralbrunnen Überklingen-Teinach GmbH,48.68874538354602,8.6858358743856,4,3,4,2,11,4.587628865979,25,5,4
Spezi,false,Almdudler Spezi,Almdudler,,,3,2,4,2,10.4,4.340206185567,,-0.263157894737,2
Spezi,false,alwa Limo Cola-Mix,alwa Mineralbrunnen GmbH,48.955602657910006,9.008670211386429,3,2,3,5,9.3,3.886597938144,,-0.263157894737,3
Spezi,false,Auer Bräu Cola Mix,Auerbräu GmbH,47.852833772629985,12.11593706823443,3,3,3,3,10.2,4.257731958763,,-0.263157894737,2
Cola,false,Bad Brambacher Cola,Bad Brambacher Mineralquellen GmbH,50.234615730491115,12.310889412907846,2,3,1,2,11,4.587628865979,,-0.263157894737,4
Spezi,false,Bad Brambacher Cola Mix,Bad Brambacher Mineralquellen GmbH,50.234615730491115,12.310889412907846,2,4,3,4,10,4.175257731959,,-0.263157894737,3
Spezi,false,Bazi Cola-Mix,Privatbrauerei Schimpfle,48.33124868591981,10.733698609111467,4,2,4,4,10.1,4.216494845361,,-0.263157894737,2
Spezi,false,Brunnthaler Brunnen Cola-Mix,Brunnthaler Mineralbrunnen Brassler oHG,48.698406202406616,11.004818651773098,2,3,4,2,9.9,4.134020618557,,-0.263157894737,2
Cola,false,Club Cola,Spreequell Mineralbrunnen GmbH,52.475888384973786,13.341638288449328,3,5,2,3,9.9,4.134020618557,,-0.263157894737,4
Cola,false,Club-Mate Cola,Loscher GmbH und CoKG,49.64118917633762,10.592724707850927,4,2,2,4,10,4.175257731959,,-0.263157894737,2
Cola,true,Coca Cola Zero,The Coca-Cola Company,52.69245522190986,14.220429185277961,3,1,4,3,,0.051546391753,,-0.263157894737,2
Cola,true,Coca Cola Zero koffeinfrei,The Coca-Cola Company,52.69245522190986,14.220429185277961,3,1,4,3,,0.051546391753,,-0.263157894737,2
Cola,false,Coca-Cola,The Coca-Cola Company,52.69245522190986,14.220429185277961,3,2,2,4,10.6,4.422680412371,10,1.842105263158,4
Cola,false,Community Cola,Schmeckt GmbH,53.55739316073922,9.966410446515408,2,4,1,3,9.8,4.092783505155,,-0.263157894737,5
Cola,true,Community Cola Zuckerfrei,Schmeckt GmbH,53.55739316073922,9.966410446515408,3,1,3,3,0,0.051546391753,,-0.263157894737,4
Spezi,false,Cubanita Cola Mix,Hohenthanner Schlossbrauerei,48.65846178480279,12.092083634079247,3,4,3,4,8.3,3.474226804124,,-0.263157894737,2
